city,lat,lon,weather,temperature,id,overall_rank,availability,name,tag
Le Havre,49.4938975,0.1079732,clear sky,21.51,64545597,8.0,True,Brit Hotel Deauville Sud,"Hôtel 4 étoiles avec un bar/salon - Hippodrome de Deauville-La Touques à 2,7 km"
Le Havre,49.4938975,0.1079732,clear sky,21.51,9591048,8.600000381469727,True,Cures Marines Hotel & Spa Trouville – MGallery Collection,"Hôtel 5 étoiles proche de la plage avec restaurant, près de Plage de Deauville "
Rouen,49.4404591,1.0939658,clear sky,25.41,914055,7.199999809265137,True,B&B Hotel Rouen Centre,"Hôtel qui accepte les animaux de compagnie à Rouen, avec un restaurant et en liaison directe avec un centre commercial"
Rouen,49.4404591,1.0939658,clear sky,25.41,1383016,8.199999809265137,True,Hotel de Quebec,Hôtel au centre-ville dans le quartier de Centre-ville de Rouen 
Rouen,49.4404591,1.0939658,clear sky,25.41,1150190,7.800000190734863,True,Campanile Rouen Sud - Zénith - Parc Expo,Hôtel 3 étoiles à Saint-Étienne-du-Rouvray avec un restaurant et un bar/salon 
Rouen,49.4404591,1.0939658,clear sky,25.41,10624962,8.600000381469727,True,Hôtel le Pavillon de Rouen,Hôtel 3 étoiles à Franqueville-Saint-Pierre avec un restaurant et un bar/salon 
Rouen,49.4404591,1.0939658,clear sky,25.41,4068,7.800000190734863,True,Contact Hotel Le Seino Marin,Hôtel 3 étoiles à Cléon avec un bar/salon 
Rouen,49.4404591,1.0939658,clear sky,25.41,25377,7.599999904632568,True,Hôtel Novotel Rouen Sud,"Hôtel 4 étoiles à Saint-Étienne-du-Rouvray, avec un restaurant et en liaison directe avec le centre des congrès"
Paris,48.8534951,2.3483915,clear sky,26.86,1337,8.600000381469727,True,Hyatt Regency Paris Etoile,Hôtel pour la clientèle LGBTQIA+ à Paris avec un restaurant et un bar/salon 
Paris,48.8534951,2.3483915,clear sky,26.86,6454,7.800000190734863,True,Le Meridien Etoile,"Hôtel 4 étoiles avec un restaurant - Champs-Élysées à 1,4 km"
Paris,48.8534951,2.3483915,clear sky,26.86,8115,7.199999809265137,True,Hôtel Kabanel,"Hôtel 3 étoiles avec un bar/salon - Opéra de Paris à 1,9 km"
Paris,48.8534951,2.3483915,clear sky,26.86,53579,8.0,True,Timhotel Montmartre,"Hôtel qui plaira aux amateurs de shopping en liaison directe avec le centre des congrès, à une courte marche de La Machine du Moulin Rouge
"
Paris,48.8534951,2.3483915,clear sky,26.86,565710,8.800000190734863,True,Villa Pantheon,"Hôtel 4 étoiles avec un bar/salon - Notre-Dame de Paris à 0,9 km"
Paris,48.8534951,2.3483915,clear sky,26.86,6066034,8.199999809265137,True,Hôtel Josephine by Happyculture,"Hôtel 4 étoiles avec un bar/salon - La Machine du Moulin Rouge à 0,2 km"
Paris,48.8534951,2.3483915,clear sky,26.86,201207,8.600000381469727,True,Villa Alessandra,"Hôtel 4 étoiles avec un bar/salon - Champs-Élysées à 0,9 km"
Paris,48.8534951,2.3483915,clear sky,26.86,863741,8.0,True,Hôtel R. Kipling by Happyculture,"Hôtel 4 étoiles avec un bar/salon - La Machine du Moulin Rouge à 0,3 km"
Paris,48.8534951,2.3483915,clear sky,26.86,12508516,9.399999618530273,True,Hôtel Opéra Liège,"Hôtel 4 étoiles avec un bar/salon - La Machine du Moulin Rouge à 0,9 km"
Paris,48.8534951,2.3483915,clear sky,26.86,1089303,8.199999809265137,True,1K Paris,"Hôtel 4 étoiles avec 3 bars - Musée Picasso à 0,7 km"
Paris,48.8534951,2.3483915,clear sky,26.86,5251,9.199999809265137,True,Hôtel Regent's Garden - Astotel,Hôtel au centre-ville non loin de Champs-Élysées 
Paris,48.8534951,2.3483915,clear sky,26.86,8539,8.800000190734863,True,M Social Hotel Paris Opera,"Hôtel 4 étoiles à proximité de Opéra de Paris, en liaison directe avec le centre des congrès et disposant d'un restaurant
"
Paris,48.8534951,2.3483915,clear sky,26.86,1098400,7.199999809265137,True,Timhotel Paris Gare de Lyon,"Hôtel dans le centre-ville et en liaison directe avec le centre des congrès, non loin de Place de la Bastille
"
Paris,48.8534951,2.3483915,clear sky,26.86,11232444,8.199999809265137,True,Hôtel Des Arènes,Hôtel au centre-ville à quelques minutes de marche de Panthéon 
Paris,48.8534951,2.3483915,clear sky,26.86,79393779,9.399999618530273,True,SO/ Paris Hotel,"Hôtel de luxe avec un spa proposant des soins complets - Île Saint-Louis à 0,6 km"
Amiens,49.8941708,2.2956951,clear sky,24.51,4850636,8.600000381469727,True,Moxy Amiens,Hôtel 3 étoiles à Amiens avec un restaurant et un bar/salon 
Amiens,49.8941708,2.2956951,clear sky,24.51,26500139,8.600000381469727,True,"The Originals City, Tabl'Hôtel, Amiens",Hôtel en périphérie à Longueau avec un restaurant et un bar/salon 
Amiens,49.8941708,2.2956951,clear sky,24.51,1177567,8.199999809265137,True,Hotel Campanile Amiens - Glisy,Hôtel 3 étoiles à Glisy avec un restaurant et un bar/salon 
Amiens,49.8941708,2.2956951,clear sky,24.51,3126,8.0,True,"Holiday Inn Express Amiens, an IHG Hotel",Hôtel au centre-ville à Amiens avec un bar/salon 
Amiens,49.8941708,2.2956951,clear sky,24.51,6881669,7.599999904632568,True,Appart'City Confort Amiens Gare,Appartements au centre-ville à Amiens avec kitchenettes 
Amiens,49.8941708,2.2956951,clear sky,24.51,2232436,8.800000190734863,True,Mercure Amiens Cathedrale,Hôtel 4 étoiles dans le quartier de Centre-ville avec un restaurant et un bar/salon 
Amiens,49.8941708,2.2956951,clear sky,24.51,37057845,9.0,True,ibis Styles Amiens Centre,Hôtel 3 étoiles à Amiens avec un restaurant et un bar/salon 
Amiens,49.8941708,2.2956951,clear sky,24.51,4321,7.599999904632568,True,Hotel Novotel Amiens Pôle Jules Verne,Hôtel 4 étoiles à Boves avec une piscine extérieure et un restaurant 
Amiens,49.8941708,2.2956951,clear sky,24.51,30444622,8.800000190734863,True,Kyriad Prestige Amiens Poulainville Hotel and SPA,Hôtel 4 étoiles à Poulainville avec un spa et un restaurant 
Amiens,49.8941708,2.2956951,clear sky,24.51,2175143,8.600000381469727,True,Ibis Albert Pays de Somme,"Hôtel 3 étoiles avec un restaurant - Musée d'histoire Somme 1916 à 2,3 km"
Lille,50.6365654,3.0635282,clear sky,25.27,64112590,9.199999809265137,True,OKKO Hotels Lille Centre,Hôtel 4 étoiles dans le quartier de Centre-ville de Lille avec un restaurant et un bar/salon 
Lille,50.6365654,3.0635282,clear sky,25.27,24355,9.0,True,Grand Hotel Bellevue,Centre-ville de Lille : hôtel au centre-ville avec un bar/salon 
Lille,50.6365654,3.0635282,clear sky,25.27,3534051,9.0,True,Hôtel Barrière Lille,"Hôtel de luxe à proximité de Euralille, en liaison directe avec un centre commercial et disposant d'un spa à soins complets
"
Lille,50.6365654,3.0635282,clear sky,25.27,986234,9.0,True,"L'Hermitage Gantois, Autograph Collection",Hôtel de luxe dans le quartier de Centre-ville de Lille avec 2 restaurants et un spa
Lille,50.6365654,3.0635282,clear sky,25.27,44588852,9.0,True,Moxy Lille City,"Hôtel 3 étoiles avec une salle de fitness ouverte 24 h/24 - Grand'Place de Lille à 1,2 km"
Lille,50.6365654,3.0635282,clear sky,25.27,891165,8.600000381469727,True,La Valiz,Au cœur de Lille 
Lille,50.6365654,3.0635282,clear sky,25.27,36419678,9.399999618530273,True,Aparthotel Adagio Lille Centre Grand Place,Appartements de luxe à Lille avec cuisines 
Lille,50.6365654,3.0635282,clear sky,25.27,1150068,7.400000095367432,True,Campanile Lille Sud-CHR,Hôtel 3 étoiles à Lille avec un restaurant et un bar/salon 
Lille,50.6365654,3.0635282,clear sky,25.27,77990485,8.399999618530273,True,B&B Hotel Lille Lillenium Eurasanté,"Hôtel très pratique pour les familles et en liaison directe avec un centre commercial, non loin de Parc Jean-Baptiste Lebas
"
Lille,50.6365654,3.0635282,clear sky,25.27,6454446,8.399999618530273,True,Campanile Hotel Lille Euralille,Hôtel 3 étoiles à La Madeleine avec un restaurant et un bar/salon 
Lille,50.6365654,3.0635282,clear sky,25.27,797274,8.800000190734863,True,Novotel Ieper Centrum Flanders Fields,Hôtel au centre-ville à Ypres 
Lille,50.6365654,3.0635282,clear sky,25.27,662495,8.600000381469727,True,Hotel Damier,"Hôtel de luxe à Courtrai, avec 2 des restaurants et en liaison directe avec un centre commercial"
Lille,50.6365654,3.0635282,clear sky,25.27,37491812,9.199999809265137,True,Best Western Le Beffroi,Hôtel 3 étoiles à Loos avec un bar/salon 
Lille,50.6365654,3.0635282,clear sky,25.27,9851,8.600000381469727,True,Sure Hotel by Best Western Lille Tourcoing Ex Hotel Garden,"Hôtel 3 étoiles avec un restaurant - Centre commercial Promenade de Flandre à 2,4 km"
Lille,50.6365654,3.0635282,clear sky,25.27,30431670,9.399999618530273,True,Hotel Louvre Lens - Esprit de France,Hôtel 4 étoiles à Lens avec un restaurant et un bar/salon 
Strasbourg,48.584614,7.7507127,clear sky,27.23,18915642,9.199999809265137,True,OKKO Hotels Strasbourg Centre,"Hôtel 4 étoiles avec un restaurant - Cathédrale Notre-Dame de Strasbourg à 1,7 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,32395570,9.199999809265137,True,K Hotel,"Hôtel 3 étoiles avec un bar/salon - Zénith de Strasbourg à 2,5 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,53440,7.800000190734863,True,7Hotel&Spa,Hôtel 4 étoiles à Illkirch-Graffenstaden avec un spa et une piscine couverte 
Strasbourg,48.584614,7.7507127,clear sky,27.23,438103,9.0,True,ClapClap Hôtel,"Hôtel 3 étoiles avec un restaurant - Place Kléber à 0,7 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,35371393,8.800000190734863,True,Garrigae Villa La Florangerie,"Hôtel 4 étoiles avec un spa proposant des soins complets - Cathédrale Notre-Dame de Strasbourg à 2,2 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,57146852,9.0,True,Aloft Strasbourg Etoile,"Hôtel 4 étoiles avec un bar/salon - Cathédrale Notre-Dame de Strasbourg à 1,2 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,1383203,8.600000381469727,True,Hôtel Diana Restaurant & Spa,"Hôtel au bord de l'eau avec un spa proposant des soins complets - Office de Tourisme Region Molsheim-Mutzig à 0,6 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,4071734,8.800000190734863,True,Hotel Athena Spa,"Hôtel 4 étoiles avec un spa proposant des soins complets - Place de la Gare à 2,9 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,127230,9.399999618530273,True,"Maison Rouge Strasbourg Hotel&Spa, Autograph Collection",Hôtel pour la clientèle LGBTQIA+ à Strasbourg avec un spa et un restaurant 
Strasbourg,48.584614,7.7507127,clear sky,27.23,53619,8.199999809265137,True,Hotel Cathedrale,"Hôtel 4 étoiles avec un bar/salon - Cathédrale Notre-Dame de Strasbourg à 0,1 km"
Strasbourg,48.584614,7.7507127,clear sky,27.23,7431606,8.600000381469727,True,"Holiday Inn Express Strasbourg - Centre, an IHG Hotel","Hôtel 3 étoiles avec un bar/salon - Musée alsacien à 1,2 km"
